neighborhood,year,month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173
0,2019,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,15,0,5,1,0,0,0,0,0,2,330,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,39,0,0,0,0,0,0,0,1,0,0,4,12,0,0,0,0,0,0,4,0,85,0,0,0,2,1,8,0,0,0,6,0,0,0,0,0,0,1,0,0,1,0,16,0,0,0,0,0,0,4,1,0,1,0,0,0,0,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,1,0,1,30,0,0,0,3,1,0,0,0,0,0,2,0,0,2,0,2,0,1,2,0,0,0,0,0,0
0,2019,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,14,0,1,2,0,0,0,0,0,3,266,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,25,0,0,0,0,0,0,0,2,0,0,1,23,0,0,0,0,0,0,4,1,56,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,16,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,13,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
0,2019,3,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,4,3,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,194,0,0,0,0,0,15,21,0,0,0,0,0,0,3,0,2,37,0,0,0,0,0,0,1,0,0,1,2,56,0,0,0,0,0,0,8,0,143,0,0,0,0,4,2,0,0,1,4,0,0,0,0,0,1,4,0,0,0,0,13,0,0,0,0,0,0,4,2,0,1,0,1,0,0,0,0,5,0,0,0,2,0,0,0,1,1,0,0,0,2,0,0,2,0,1,0,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,17,2,0,0,0,0,1,1,0,0,0,2,2,0,0,0,5,0,3,0,0,0,0,0,1,0
0,2019,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,16,0,3,3,0,0,3,0,0,1,300,0,0,0,0,0,5,87,0,0,0,0,0,0,1,0,0,29,0,0,0,0,0,0,0,1,2,1,0,15,0,0,0,1,0,0,6,0,129,0,0,0,2,2,2,0,0,2,1,1,0,0,0,0,0,5,0,2,0,0,15,0,0,1,0,0,0,2,1,1,1,0,0,0,0,0,0,9,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,25,0,0,0,3,1,0,0,0,2,0,2,0,0,0,0,2,0,2,0,0,0,0,0,1,0
0,2019,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10,0,2,3,0,0,0,0,0,1,105,0,0,0,0,0,8,47,0,0,0,0,0,0,1,0,1,32,0,0,0,0,0,0,1,3,3,0,1,18,0,1,0,0,0,0,2,1,93,0,0,0,1,1,1,0,2,2,1,0,0,0,0,0,0,5,0,3,1,0,5,0,0,1,1,0,0,5,0,0,1,0,2,0,1,0,0,6,0,0,0,2,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,3,0,0,0,0,2,20,3,0,0,0,2,2,0,0,2,0,3,0,0,0,1,2,0,1,1,0,0,0,0,1,0
0,2019,6,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,12,0,0,6,0,0,4,0,0,2,78,0,0,0,0,0,9,112,0,0,0,0,0,0,1,0,1,24,0,0,2,0,0,0,1,1,1,0,0,8,0,0,0,0,0,0,5,0,44,0,0,0,1,2,2,0,0,2,2,1,0,0,0,0,0,3,0,2,0,0,12,0,0,0,0,0,0,4,0,2,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,5,8,0,0,0,1,0,3,1,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,2,1,0,2,0,1,0,3,0,0,0,0,0,0,0
0,2019,7,0,0,0,1,0,0,0,0,1,24,1,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,9,0,1,8,1,0,3,0,0,3,96,0,0,0,0,0,12,183,0,0,0,0,0,0,4,0,4,35,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,5,0,2,0,0,0,1,1,7,0,0,2,5,1,0,0,0,0,0,3,0,1,1,0,6,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,0,3,0,1,3,0,3,2,1,0,3,2,0,0,0,0,0,0
0,2019,8,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,4,2,0,0,0,0,0,0,1,0,9,0,1,3,0,0,0,0,0,1,242,0,0,0,0,0,11,237,0,0,0,0,0,0,9,1,1,53,0,0,0,0,0,0,0,0,3,0,0,5,0,1,0,0,1,0,5,0,5,0,0,1,2,0,9,0,0,0,5,0,0,0,1,0,0,1,0,3,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,4,0,0,0,0,0,2,1,0,0,0,0,1,20,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,2,0,0,1,0,0,2,0
0,2019,9,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,2,9,0,2,6,0,0,0,0,0,8,130,0,0,0,0,0,8,190,0,0,0,1,0,0,0,0,2,25,0,0,0,0,0,0,0,0,2,0,2,6,0,0,0,0,0,0,5,0,11,0,0,1,2,0,0,0,1,11,5,1,0,0,0,0,2,2,1,1,0,0,18,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,1,0,0,1,0,0,3,0,0,0,0,0,1,1,0,0,7,0,0,0,0,0,1,3,0,0,0,0,0,18,1,0,0,2,1,1,0,0,1,0,1,1,0,0,9,1,0,2,2,0,0,1,0,2,1
0,2019,10,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,4,1,1,0,0,0,0,0,0,0,1,0,2,3,0,0,3,0,0,0,137,0,0,0,0,0,4,155,0,0,0,0,0,1,5,1,2,33,0,0,0,0,0,0,0,1,1,0,0,9,0,1,0,0,0,0,3,1,0,0,0,0,3,3,6,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,18,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,7,0,0,0,0,0,1,4,0,0,0,0,0,17,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,2,1,0,0,0,0,1,0
0,2019,11,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,8,0,2,2,0,0,2,0,0,0,939,0,0,0,0,0,7,217,0,0,0,0,0,0,2,0,0,33,0,0,1,0,0,0,0,2,3,0,2,34,0,0,0,0,0,0,4,0,0,0,0,0,2,0,7,0,0,1,4,0,0,0,0,0,1,1,0,1,0,0,27,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,2,0,1,1,0,0,0,0,0,18,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0
0,2019,12,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,17,0,1,1,0,0,1,0,0,3,1503,0,0,0,0,0,8,246,0,0,0,0,0,0,5,0,1,47,0,0,0,0,0,0,0,1,2,0,0,27,0,0,0,0,0,0,6,0,0,0,0,0,2,1,10,0,0,2,3,0,0,0,0,0,0,1,0,0,1,0,17,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,3,1,0,0,0,0,1,0,0,4,1,0,0,0,1,0,0,2,0,0,1,0,1,32,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
1,2019,1,0,0,3,0,0,0,0,0,0,109,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,1,6,0,2,11,0,0,3,0,0,7,16,0,0,0,0,0,14,0,0,0,0,0,0,1,3,0,2,19,0,2,0,0,0,3,3,16,0,1,5,1,0,0,0,0,2,0,4,0,62,0,0,0,0,1,11,0,2,3,1,0,0,0,0,0,0,2,0,0,11,0,5,0,0,1,0,0,0,13,1,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,5,0,1,0,0,1,0,0,0,1,1,2,0,0,1,19,0,0,1,2,0,1,3,0,0,1,0,0,42,1,0,0,0,0,0,0,0,4,0,3,2,0,4,2,4,0,4,2,0,0,0,1,2,0
1,2019,2,0,0,2,0,0,0,1,0,1,116,0,0,0,0,0,1,4,3,0,0,0,1,0,0,0,1,12,0,3,16,0,0,2,0,0,16,31,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,4,14,0,0,1,0,1,3,3,8,0,0,5,3,0,0,0,0,3,0,10,1,99,0,0,1,0,1,7,1,3,3,5,1,0,0,0,0,1,1,0,0,11,0,7,0,0,0,1,0,0,11,0,0,0,0,0,0,1,2,0,6,0,1,0,4,0,1,4,0,3,0,0,0,0,0,0,1,1,0,0,0,1,12,0,0,0,0,0,1,2,0,0,0,0,0,43,0,0,0,0,0,3,0,0,3,0,2,4,0,3,7,5,0,8,0,0,0,0,0,0,0
