epsilon,neighborhood,year,month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173
4.0,0,2019,1,0,12,3,1,0,0,0,7,1,9,0,14,5,0,0,0,0,0,0,0,1,0,0,0,0,5,10,0,6,0,1,0,0,11,13,7,328,0,2,0,0,0,0,9,0,2,0,0,0,0,17,4,11,47,1,9,0,0,0,0,0,0,5,0,1,12,0,5,0,18,4,0,0,5,88,3,4,0,0,0,14,1,0,0,4,0,3,2,7,0,0,4,4,1,5,0,16,0,0,0,0,2,0,4,9,0,0,4,0,0,0,0,10,8,2,7,5,0,8,0,5,8,0,0,0,0,5,6,0,0,0,0,0,0,11,1,0,3,0,14,13,0,2,0,0,0,1,1,19,0,8,0,0,1,18,0,2,4,0,5,0,2,4,0,0,6,0,0,0,1,2,0,0,0
4.0,0,2019,2,2,0,2,0,10,0,0,0,9,10,0,2,5,1,0,0,0,10,8,2,0,0,3,8,7,4,16,0,0,10,1,0,0,2,0,0,267,2,2,0,3,0,0,3,2,6,2,1,0,0,0,0,15,24,8,2,4,0,1,0,0,5,0,0,3,18,11,12,9,0,0,10,3,15,69,6,0,0,6,0,0,1,10,3,2,0,1,20,0,0,7,4,3,3,0,0,21,5,7,9,0,0,5,7,3,4,8,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,4,0,1,0,0,0,0,2,3,17,0,0,6,0,0,0,0,13,6,2,0,0,0,0,1,3,15,0,12,3,2,2,0,0,0,5,0,0,0,0,6,4,1,0,1,0,0,0,0,1,2,0
4.0,0,2019,3,0,1,0,6,2,0,0,2,0,5,11,1,0,2,1,0,15,2,13,8,0,0,0,0,0,2,0,0,10,0,5,0,0,3,1,7,197,5,0,0,3,5,35,20,0,4,0,10,6,0,6,4,0,45,0,5,0,8,0,0,9,0,0,13,14,57,2,0,0,0,2,4,12,4,134,0,0,1,0,11,0,0,0,5,5,0,0,3,0,5,4,0,0,18,0,0,18,11,18,4,0,0,4,5,1,8,0,0,0,0,0,0,0,7,3,1,13,1,0,7,0,14,0,14,0,8,2,21,0,3,14,1,1,2,2,6,1,8,0,0,12,8,1,1,0,0,0,0,18,0,15,18,3,0,0,6,2,0,9,7,13,3,1,0,15,7,0,0,0,5,18,0,2,0
4.0,0,2019,4,14,6,6,0,0,0,0,7,5,39,25,1,4,11,6,0,0,0,12,1,0,2,1,0,0,2,16,4,3,9,1,1,10,0,0,0,304,1,3,0,0,0,3,88,0,0,8,0,0,4,0,1,6,40,0,10,0,0,0,16,0,0,4,0,0,8,0,0,0,3,0,0,14,0,131,0,0,0,0,0,0,0,0,2,0,0,0,2,0,5,1,0,7,11,0,0,20,3,0,0,0,0,1,0,1,4,0,0,3,8,0,0,0,8,0,0,0,0,0,0,0,0,0,8,1,3,4,0,0,0,1,3,0,0,0,2,2,1,0,18,1,0,0,0,0,0,0,0,20,8,0,0,2,18,0,0,14,9,5,0,0,2,10,1,3,0,6,0,0,0,0,0,0,1
4.0,0,2019,5,0,1,0,0,0,0,0,0,0,22,0,5,0,2,4,1,1,0,0,10,5,13,0,3,10,0,0,3,3,9,0,4,0,0,0,6,107,0,0,7,0,5,7,46,0,0,3,0,0,8,0,0,9,33,0,11,1,0,0,4,2,3,11,4,0,16,0,4,0,1,4,7,0,6,85,6,0,0,6,0,0,3,5,4,3,0,0,0,0,8,1,4,0,14,0,1,5,1,0,8,11,1,2,14,3,0,2,1,1,3,11,10,0,0,17,6,0,11,7,2,2,0,0,0,5,0,0,0,0,9,0,0,3,0,2,7,0,0,0,0,9,0,4,2,0,2,0,15,14,2,0,25,0,3,0,3,0,10,0,0,0,0,1,0,6,0,1,0,0,1,0,0,7,11
4.0,0,2019,6,0,0,2,0,0,0,3,2,0,10,0,2,0,0,5,0,4,0,0,0,3,6,5,0,3,0,9,8,0,0,0,0,0,1,0,10,83,0,0,0,1,0,10,111,1,0,0,11,4,0,8,0,9,29,0,0,0,0,2,0,0,7,18,0,0,5,0,9,0,1,0,1,7,5,40,0,0,8,8,3,3,2,0,11,1,0,0,0,0,3,0,4,0,1,0,0,15,0,1,0,2,10,3,0,0,0,2,0,0,1,0,5,0,0,3,0,2,0,0,6,6,2,0,1,0,0,10,0,12,0,0,1,7,3,10,10,2,6,0,1,0,22,12,0,3,10,0,1,21,0,3,0,9,15,11,0,6,6,0,7,0,1,0,0,0,2,1,3,0,0,0,4,0,1
4.0,0,2019,7,7,1,0,0,7,0,7,0,12,29,28,0,4,0,0,1,11,20,4,0,0,3,0,0,0,0,6,0,0,0,20,0,2,2,0,15,100,0,0,7,11,0,13,178,20,0,11,2,1,0,0,0,0,30,4,0,0,14,7,10,23,0,0,4,3,0,5,0,0,0,1,1,0,7,0,0,8,12,7,6,9,1,0,1,4,0,3,0,0,0,2,0,6,1,1,1,11,0,2,2,0,7,5,7,7,7,3,6,3,2,1,4,0,7,7,0,5,0,0,3,0,5,5,0,0,0,1,16,2,0,2,1,4,0,6,5,13,0,2,11,0,10,2,0,0,3,0,1,4,1,0,7,15,15,4,0,4,0,0,0,3,4,5,1,0,26,2,1,0,4,2,0,0,2
4.0,0,2019,8,2,0,12,0,0,11,0,2,0,8,17,0,8,0,0,0,6,0,7,0,14,0,7,4,5,6,13,1,0,0,9,1,4,0,0,0,244,0,0,0,0,1,8,242,0,0,0,0,0,0,10,0,3,59,4,0,0,0,0,18,0,0,4,3,1,0,0,1,0,0,0,0,4,0,6,2,5,0,0,0,11,3,0,10,0,0,3,7,4,5,0,6,0,11,1,5,10,2,0,3,0,0,0,0,7,0,15,0,0,4,2,0,1,6,0,25,15,4,0,3,0,0,0,0,7,4,3,0,0,0,19,0,8,1,1,7,0,7,8,0,0,3,10,0,1,2,3,0,23,9,0,0,14,0,8,0,0,7,0,0,0,1,0,0,16,0,4,0,4,0,14,0,0,0
4.0,0,2019,9,0,0,0,5,0,0,1,3,0,0,0,3,2,0,6,5,5,10,0,0,0,0,0,10,0,0,8,10,0,6,0,0,18,13,0,20,132,7,0,0,0,2,2,176,0,3,0,3,14,0,2,0,9,20,2,6,11,2,0,1,7,1,0,10,4,8,0,2,0,2,0,2,39,0,26,0,7,5,3,3,7,0,0,13,10,5,5,0,5,0,2,0,0,0,0,2,17,0,0,0,0,0,1,6,1,0,0,6,0,0,0,0,0,4,1,0,1,5,5,4,12,0,0,0,2,11,0,10,0,10,0,0,1,0,0,5,5,0,0,1,3,0,2,0,0,2,0,0,21,0,1,0,15,1,6,1,0,3,12,2,6,7,0,5,2,0,8,10,0,0,5,0,7,0
4.0,0,2019,10,2,0,1,0,1,0,3,6,0,6,0,2,1,0,0,0,5,1,20,0,2,0,0,3,2,20,0,0,5,4,0,0,0,8,0,0,133,0,0,0,0,5,0,155,7,2,0,0,0,3,27,3,3,36,0,0,1,12,0,2,0,1,0,0,4,7,2,5,10,0,0,0,24,11,0,6,0,1,0,7,0,5,4,4,0,0,0,0,0,10,1,0,0,0,2,0,27,0,21,6,0,10,0,9,1,7,7,5,4,0,0,0,0,5,0,15,2,7,0,7,9,0,2,4,0,0,0,0,0,0,0,0,13,1,13,6,0,0,0,0,2,0,5,2,0,0,4,0,6,23,0,2,17,0,0,0,0,0,2,0,0,25,5,1,0,1,2,0,0,7,0,0,0,0
