epsilon,neighborhood,year,month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173
0.5,0,2019,1,0,93,25,9,0,0,0,53,9,28,0,112,44,0,0,0,0,2,0,0,10,0,0,0,0,35,0,1,13,0,10,0,0,91,107,40,310,0,18,0,0,0,0,68,0,16,0,2,4,0,115,32,84,101,9,74,0,0,0,0,0,0,43,0,0,16,0,37,0,146,31,0,0,40,106,25,31,0,0,0,60,11,0,0,0,0,25,13,60,0,0,23,29,5,32,0,18,0,0,0,0,13,0,5,69,0,0,29,0,0,0,0,78,41,12,54,37,0,62,3,38,63,0,0,0,0,40,51,0,1,0,0,0,0,87,0,2,21,0,115,104,0,2,0,0,0,10,1,0,0,68,0,0,0,142,0,17,30,0,26,0,12,14,3,0,44,0,0,0,8,18,0,1,0
0.5,0,2019,2,14,0,19,0,83,0,0,0,76,59,0,15,40,5,2,0,0,65,65,12,0,0,24,63,60,33,27,0,0,66,10,0,0,16,0,0,270,19,14,0,22,0,0,27,14,48,15,6,0,0,0,0,117,15,61,12,36,0,7,0,0,26,0,0,15,0,85,95,71,0,0,78,0,109,161,49,0,0,48,0,0,5,82,21,7,0,10,157,0,1,56,27,20,21,0,0,55,39,53,70,1,0,36,19,21,36,61,0,0,0,7,0,0,4,0,8,0,0,41,0,0,2,31,0,11,0,0,3,3,13,24,123,1,0,38,0,0,0,0,104,45,20,0,0,0,0,4,22,28,0,96,26,6,11,0,0,0,30,0,0,0,0,50,22,0,0,0,0,0,0,0,11,13,0
0.5,0,2019,3,0,12,0,50,15,0,0,13,0,12,85,7,0,14,0,4,90,0,102,67,0,0,0,0,0,18,0,0,51,0,40,0,0,20,12,56,219,37,0,0,28,38,174,13,0,32,0,79,50,0,31,28,0,102,0,42,0,63,0,0,68,0,0,93,95,62,12,0,0,0,17,28,43,35,75,0,0,4,0,64,0,0,0,31,15,0,0,21,0,41,22,0,0,145,0,0,52,90,143,28,0,0,32,9,0,67,0,0,0,0,0,0,0,19,27,7,103,0,0,53,0,105,0,112,0,61,4,171,0,7,112,3,12,20,0,17,7,65,0,0,92,61,0,11,0,0,0,0,24,0,119,144,20,3,0,41,18,0,69,43,94,24,10,0,85,53,0,0,0,39,147,0,9,0
0.5,0,2019,4,112,46,45,0,0,0,0,52,39,301,200,5,31,88,48,0,0,0,95,10,0,17,11,0,0,17,18,31,5,52,4,5,59,0,0,0,329,11,21,0,0,0,0,95,0,0,66,0,1,34,0,11,52,121,0,77,0,0,0,129,0,0,14,0,0,0,0,0,0,14,0,0,69,0,145,0,0,0,0,0,0,0,0,0,0,0,0,19,0,37,12,0,55,76,0,0,53,27,0,0,0,0,11,0,0,28,0,0,22,63,1,3,0,5,3,0,0,0,0,0,0,0,0,61,8,19,35,0,0,3,8,27,0,0,0,0,14,6,0,145,10,0,0,0,0,0,0,0,0,63,0,2,0,135,0,0,112,55,40,0,0,16,78,5,8,0,33,0,0,0,1,0,0,10
0.5,0,2019,5,0,7,0,0,3,0,0,0,0,158,0,39,0,18,29,8,0,0,0,78,43,106,0,25,84,0,0,26,8,49,0,36,0,0,0,41,121,2,0,56,0,40,3,36,0,0,27,0,0,64,0,4,68,43,0,85,12,0,0,35,12,6,65,34,0,0,0,28,0,6,30,56,0,42,33,47,0,0,37,0,0,24,25,15,21,4,0,0,0,68,7,0,0,93,0,8,5,10,0,56,81,6,20,80,21,0,8,10,0,26,82,76,0,0,140,45,0,76,54,4,9,0,0,0,37,0,0,0,3,73,0,0,26,0,0,3,0,0,0,0,71,0,10,12,0,16,0,104,0,0,0,203,0,10,0,28,0,66,0,0,0,0,6,0,34,0,3,0,0,5,0,0,52,89
0.5,0,2019,6,0,0,14,0,0,0,23,15,0,0,0,17,0,0,37,0,17,0,0,0,24,50,43,0,17,0,0,63,0,0,0,0,0,7,0,64,118,0,0,0,8,0,20,104,4,0,0,91,30,0,54,0,63,61,0,0,0,3,12,0,0,45,140,2,0,0,0,71,0,7,0,5,19,43,9,0,0,64,56,11,11,16,0,73,0,0,2,0,0,26,0,12,0,0,0,0,35,0,6,0,16,83,25,0,0,0,9,0,0,9,0,32,0,0,24,0,19,0,0,42,38,20,0,8,0,0,73,0,92,0,0,5,55,25,43,23,19,48,0,0,0,151,89,0,21,76,0,6,83,0,20,0,76,115,88,0,52,47,0,45,0,9,0,0,0,20,0,24,0,0,3,35,0,12
0.5,0,2019,7,59,11,0,0,54,0,55,2,85,60,221,0,31,0,0,12,59,141,31,0,0,26,0,0,0,0,0,0,0,0,149,0,0,18,0,95,130,0,0,57,88,0,22,139,161,0,87,14,10,1,0,0,0,0,33,0,0,111,58,77,183,0,0,29,21,0,40,0,0,3,8,7,0,56,0,0,60,97,53,40,22,4,0,0,0,0,24,0,0,0,18,0,48,1,0,8,48,0,18,7,0,57,36,20,49,53,22,45,20,18,11,28,0,57,54,0,42,0,0,27,0,40,44,1,0,0,11,131,12,0,12,4,33,0,32,8,104,0,12,81,0,83,19,0,0,22,0,7,0,11,0,54,117,112,29,0,29,0,0,0,2,31,21,0,0,206,0,0,0,36,20,0,0,18
0.5,0,2019,8,15,0,93,0,0,87,0,13,0,0,138,0,62,0,0,0,18,0,52,0,110,0,53,32,32,47,39,12,0,0,74,11,36,0,0,0,261,0,0,0,0,7,0,273,0,0,0,0,0,0,18,0,21,104,33,0,0,0,0,145,0,0,14,21,5,0,0,2,0,0,0,0,0,0,11,19,37,0,0,0,22,21,0,82,0,3,22,54,23,37,0,41,0,65,4,40,7,14,2,25,0,0,0,0,54,0,121,0,0,35,15,0,5,26,0,197,119,16,0,19,0,0,0,0,53,25,27,0,0,0,148,0,54,7,0,28,0,55,65,0,0,10,71,0,11,12,25,0,43,68,0,0,114,0,51,0,0,54,0,1,0,8,0,0,114,0,17,0,32,0,112,0,0,0
0.5,0,2019,9,0,2,0,43,0,0,11,21,0,0,0,26,16,0,47,38,11,56,0,0,0,0,3,83,0,0,5,81,0,7,0,0,145,107,0,102,143,53,0,1,0,16,0,77,0,21,0,18,112,0,17,0,55,0,19,45,88,18,0,11,54,6,0,79,21,23,0,15,0,14,0,15,275,0,134,0,54,34,8,26,57,0,0,27,43,31,36,0,40,0,6,0,0,0,0,20,8,0,0,0,0,0,9,20,11,0,0,52,2,0,0,0,0,0,7,3,10,31,39,24,97,0,0,0,14,67,0,77,0,81,0,0,0,0,0,0,37,3,0,10,23,0,0,0,0,18,0,2,40,0,6,0,106,0,39,4,0,13,93,10,42,59,0,0,11,0,48,66,0,0,34,0,43,0
0.5,0,2019,10,16,0,11,0,8,0,26,52,0,0,0,13,10,4,0,0,12,1,149,0,20,0,0,23,19,162,0,0,26,10,0,0,0,62,0,0,105,0,0,2,0,37,0,158,57,14,3,0,0,18,183,17,7,58,0,0,5,99,0,19,0,4,0,0,29,0,16,37,77,0,0,0,171,78,3,46,2,11,0,32,0,42,33,23,0,0,0,0,0,83,5,0,0,0,10,1,91,0,166,49,0,79,0,44,0,56,53,38,35,0,0,0,0,23,0,121,13,43,0,52,75,0,11,30,0,0,0,0,0,0,0,0,104,4,107,1,0,0,0,0,13,0,15,14,0,0,33,0,0,183,0,20,137,0,0,0,0,0,19,0,1,201,40,10,0,11,4,0,0,59,0,0,0,0
