epsilon,neighborhood,month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173
0.5,0,1,30,0,92,3,20,0,16,68,0,14,16,0,0,16,30,40,60,0,45,0,27,0,0,29,53,26,24,0,0,81,93,63,81,0,0,0,294,0,0,6,91,0,24,55,0,82,10,14,13,35,34,0,1,20,12,0,0,0,0,5,51,0,23,0,38,31,27,0,47,0,0,0,0,0,0,0,0,154,0,0,0,2,0,0,30,0,0,0,12,0,34,0,0,0,130,0,52,0,12,0,23,0,142,0,0,0,0,0,0,36,27,0,0,11,62,23,0,31,28,0,0,0,47,0,60,0,9,0,47,51,97,97,0,0,70,111,0,0,0,0,20,0,0,0,74,0,0,16,0,0,0,27,0,19,7,32,12,0,20,39,0,0,0,82,18,87,0,0,0,157,0,0,39,119
0.5,0,2,9,0,10,0,0,0,44,0,0,14,0,0,28,32,0,0,0,87,88,0,0,0,0,0,95,13,0,0,27,0,0,6,112,0,0,0,174,72,167,17,38,0,0,0,9,6,0,53,0,0,41,0,51,31,5,54,0,30,11,34,126,0,0,0,18,57,0,26,0,31,0,17,0,0,66,41,31,0,10,29,0,0,0,0,65,0,26,113,0,0,0,56,0,0,86,102,0,0,0,0,0,26,0,68,11,0,0,0,50,0,51,0,0,0,59,53,0,0,0,14,30,0,30,0,42,0,0,26,0,0,37,16,143,0,0,6,34,0,41,15,14,10,0,0,52,68,6,123,68,52,13,31,0,46,0,74,0,0,127,0,0,0,34,0,2,124,0,0,0,20,0,50,21,46
0.5,0,3,0,13,0,35,0,5,1,105,22,20,47,36,16,13,50,0,0,42,5,22,16,0,0,6,12,190,0,14,5,0,0,56,0,97,8,7,167,0,26,0,0,35,0,26,0,20,15,78,2,30,88,0,0,59,6,0,0,37,0,0,5,0,0,78,8,40,121,0,0,0,0,0,0,62,110,39,223,0,0,5,0,106,13,51,80,0,0,0,0,0,54,31,29,0,0,12,34,17,182,15,3,0,0,0,11,0,29,3,13,59,8,0,29,0,2,0,0,0,33,0,0,0,38,15,0,180,54,19,0,3,55,40,0,58,36,0,0,23,27,54,0,34,34,16,0,14,0,117,21,0,0,0,0,0,30,106,0,58,0,86,0,4,0,0,0,54,0,0,0,69,9,0,0,47
0.5,0,4,0,65,0,0,40,104,0,60,26,0,3,91,0,0,0,6,1,0,81,0,0,40,52,12,0,107,9,86,40,0,0,0,0,0,4,19,307,22,32,42,0,9,0,168,0,29,0,7,0,0,63,0,0,84,0,110,0,19,3,0,40,0,0,39,28,29,20,119,0,21,24,5,26,0,53,62,0,0,0,72,6,1,0,0,0,0,0,8,2,40,77,0,13,20,0,0,0,24,0,0,7,117,0,9,27,0,0,1,115,0,134,0,0,18,0,26,0,0,2,0,0,59,0,0,0,3,0,0,0,0,0,37,0,36,0,0,0,0,15,0,0,0,84,0,71,0,0,29,6,0,0,54,0,87,0,48,30,0,0,0,21,10,0,2,7,57,8,0,0,0,0,0,0,0
0.5,0,5,20,3,7,0,8,63,0,0,14,82,8,48,0,0,0,2,0,16,96,20,44,14,19,0,129,11,0,0,0,0,0,40,0,10,0,0,79,0,0,17,34,0,12,0,15,25,32,0,27,0,0,20,7,0,0,74,11,43,179,0,13,6,8,0,145,0,12,0,0,91,2,0,0,41,85,0,38,0,0,117,0,22,43,10,0,0,0,11,43,33,0,0,0,0,5,102,0,0,0,6,0,65,37,0,56,27,8,20,47,48,47,91,0,48,0,9,0,18,50,0,0,1,0,12,20,0,0,0,20,16,70,3,0,7,10,0,6,0,0,19,19,0,12,0,0,0,104,118,79,33,7,0,0,6,0,0,39,36,0,8,24,0,1,7,2,0,0,0,0,0,0,7,126,0
0.5,0,6,26,10,67,20,6,13,10,0,0,18,0,19,0,14,0,0,0,0,0,32,0,24,0,0,32,0,42,0,13,0,0,0,73,41,54,28,79,43,0,0,3,0,23,41,0,37,58,0,0,0,69,3,93,11,14,0,14,13,0,123,0,0,0,0,27,0,1,0,0,6,0,0,115,56,48,0,44,0,0,52,26,0,217,0,44,0,98,0,0,25,44,108,0,0,76,0,68,0,20,5,0,1,4,0,1,0,0,2,0,20,38,45,0,50,1,37,104,0,33,1,0,0,55,0,54,0,76,3,5,45,0,0,0,133,0,0,51,0,0,7,0,0,42,0,0,0,28,0,0,0,55,170,0,60,0,0,0,0,0,0,0,0,9,0,4,58,0,14,0,0,0,0,33,4
0.5,0,7,0,0,6,0,0,0,0,0,41,97,0,0,32,0,13,0,32,3,0,0,53,0,0,0,52,0,31,0,36,5,0,0,59,29,0,62,90,0,0,38,0,12,78,183,0,0,53,10,17,0,0,8,22,9,0,1,0,13,36,0,13,13,0,5,0,0,174,0,0,32,0,0,60,0,0,30,0,0,0,0,0,107,0,13,36,0,12,43,46,0,0,7,73,0,0,0,0,47,0,55,87,0,89,21,8,0,15,20,0,52,0,0,0,0,0,47,20,0,0,0,0,0,0,48,9,0,29,45,0,0,39,97,167,16,85,10,0,3,0,0,0,48,0,29,0,9,0,0,0,0,9,0,0,0,0,18,24,145,0,12,0,0,30,0,0,0,34,0,0,130,5,0,65,19
0.5,0,8,11,55,0,22,28,0,52,0,0,0,0,0,36,0,1,5,2,0,0,10,0,0,0,11,41,39,13,0,0,4,20,0,13,32,0,0,303,0,0,0,1,11,0,200,0,20,0,85,0,0,0,0,0,47,40,3,27,30,183,39,19,0,103,0,176,0,239,0,0,0,62,0,36,18,30,0,29,0,0,0,40,0,0,0,0,0,0,0,61,37,37,17,1,31,5,34,0,37,0,0,0,42,18,26,7,1,46,0,0,0,78,0,0,0,21,0,11,0,13,10,0,52,8,1,0,0,13,1,0,0,0,0,11,53,0,44,0,0,48,19,8,0,0,49,0,0,15,0,103,0,86,0,0,0,10,9,0,19,0,0,10,0,0,0,0,1,0,18,0,0,0,0,0,99
0.5,0,9,11,0,0,0,0,0,6,0,0,0,0,0,7,0,65,23,3,28,0,57,0,0,33,0,22,0,0,0,0,25,0,0,0,0,135,0,0,0,3,17,0,0,151,35,4,0,0,0,0,0,0,0,17,53,0,19,0,4,0,20,0,0,2,0,0,45,0,1,0,0,44,44,0,0,135,0,52,16,0,1,98,25,0,15,0,0,141,118,0,84,34,0,0,8,0,48,11,8,156,72,24,0,4,0,0,0,0,0,35,0,4,21,0,10,0,0,48,47,0,0,0,10,0,0,0,24,59,23,0,0,65,0,0,146,2,56,176,0,6,0,47,11,0,0,0,20,0,28,0,0,0,54,7,98,49,82,0,102,0,0,7,56,6,0,38,0,117,0,37,0,0,0,0,191
0.5,0,10,0,201,0,2,0,0,31,0,32,21,52,7,86,0,0,0,0,8,186,85,0,0,0,0,2,0,0,9,0,0,2,58,8,0,3,0,175,0,27,22,0,23,83,145,0,0,59,7,1,0,0,22,0,57,0,0,0,0,0,0,0,0,29,46,0,66,0,0,15,16,2,20,47,0,80,0,0,0,0,0,64,149,18,0,0,12,18,8,17,0,1,4,4,8,0,0,32,0,0,27,0,51,4,0,17,27,24,11,0,0,72,0,0,0,20,0,72,27,30,3,0,1,0,0,123,83,0,0,36,0,32,59,60,0,0,16,7,27,78,14,4,4,0,73,4,0,46,2,110,0,8,6,0,1,21,264,4,21,106,59,8,66,7,100,0,29,0,46,0,85,20,0,17,40
