epsilon,neighborhood,month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173
10.0,0,1,0,1,0,1,0,0,0,0,5,4,2,3,0,1,2,2,1,1,0,0,0,0,6,16,0,1,11,0,6,0,5,3,0,0,3,2,331,0,1,0,1,1,10,2,0,6,1,2,0,0,0,0,2,33,0,1,0,0,0,0,0,4,3,3,0,11,0,0,0,0,0,0,5,0,86,1,0,0,0,0,5,0,0,0,7,1,3,0,1,0,0,1,0,0,5,0,16,2,0,2,1,1,0,4,2,3,9,2,0,4,0,0,0,1,0,2,0,1,0,0,0,0,0,2,1,0,0,0,8,0,0,0,0,0,0,0,0,1,1,1,2,2,5,0,0,9,2,12,34,0,0,0,4,1,1,0,0,0,0,1,0,0,10,0,5,0,0,1,0,0,0,0,1,0
10.0,0,2,0,0,2,0,1,0,0,0,2,3,1,4,2,0,0,0,2,2,0,0,0,2,2,5,0,1,17,0,6,0,0,2,0,0,0,0,269,0,0,1,0,0,3,0,0,0,0,1,0,0,2,0,0,27,0,0,2,0,0,5,1,0,1,3,0,23,0,0,1,0,0,1,11,1,57,0,3,4,0,0,2,2,0,1,3,0,0,0,1,0,1,1,3,2,6,0,17,0,1,0,0,0,0,5,0,0,1,3,0,0,0,1,0,5,3,0,4,3,0,0,2,0,0,0,0,0,0,0,2,0,0,6,0,5,4,2,0,0,0,0,0,4,0,0,0,0,0,0,11,2,0,0,4,0,0,0,0,1,0,0,0,8,0,6,0,0,0,0,3,3,1,0,0,0
10.0,0,3,0,0,0,0,7,1,6,1,1,6,5,0,2,0,0,1,0,1,0,0,2,0,0,0,3,0,8,0,5,0,0,0,4,0,0,0,194,1,0,0,0,0,15,21,0,0,1,3,2,0,6,0,2,36,0,0,0,11,1,0,2,0,4,0,7,59,0,0,1,0,0,0,7,3,145,2,0,1,0,5,3,0,3,3,9,0,2,0,1,3,6,3,0,0,0,2,20,0,0,0,0,0,3,3,2,2,0,0,0,0,2,0,0,5,0,0,0,0,0,3,5,2,2,0,1,0,4,0,0,8,0,0,9,1,2,12,1,1,1,3,2,0,1,0,0,0,4,4,15,5,4,0,0,3,1,6,0,0,0,3,0,4,0,0,4,0,4,0,0,3,0,0,0,0
10.0,0,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,5,0,0,1,11,5,14,0,0,7,0,4,3,3,1,1,295,3,0,2,10,0,7,85,0,0,0,2,7,2,0,4,0,27,0,0,0,3,4,1,0,3,0,4,6,14,0,1,9,3,3,0,7,0,125,7,3,0,0,2,7,0,0,5,1,0,0,2,3,0,2,6,0,0,0,1,15,2,0,2,0,0,0,1,1,0,4,1,1,0,0,0,4,9,2,0,0,2,3,1,0,0,3,0,0,1,1,1,0,2,1,3,0,2,1,4,0,4,0,0,0,0,0,0,2,1,1,3,25,0,1,3,5,0,2,1,1,0,0,1,3,4,1,5,2,1,0,0,1,2,2,1,2,5
10.0,0,5,3,0,0,1,0,12,0,0,0,4,0,0,0,1,0,0,5,1,1,0,0,2,0,5,1,3,9,5,2,2,0,0,0,1,5,3,105,0,0,0,0,0,7,46,0,0,0,1,7,0,0,0,1,36,0,0,0,3,0,0,2,3,4,3,3,18,2,1,7,0,3,2,0,1,93,0,0,1,0,0,0,0,0,0,2,0,1,1,12,3,4,0,2,2,0,0,4,0,0,6,1,4,6,3,0,2,2,3,2,1,1,0,0,7,0,0,0,1,0,4,1,0,0,0,0,1,2,1,0,3,4,2,0,0,6,0,1,0,2,0,1,0,4,0,0,2,0,0,21,1,0,0,0,3,2,3,2,3,0,3,0,0,1,0,3,2,0,1,2,1,0,1,1,0
10.0,0,6,0,0,1,0,0,0,1,0,3,14,0,0,0,0,3,0,2,1,0,0,0,0,0,0,1,2,10,0,6,6,7,0,5,1,0,0,79,0,0,0,0,0,9,115,0,0,3,0,0,1,0,6,2,22,2,0,2,1,3,2,2,0,0,0,0,6,3,0,2,0,0,0,7,1,45,3,2,5,5,2,4,0,0,2,3,1,2,6,0,0,1,1,2,2,0,0,10,1,1,0,0,0,0,2,0,5,0,0,0,1,0,2,0,1,5,1,2,2,0,2,1,0,0,1,0,0,1,1,1,0,2,6,1,0,4,11,1,0,7,0,2,5,3,3,0,0,0,0,10,0,0,2,0,0,8,0,0,0,0,2,0,1,2,1,1,1,0,0,0,0,0,1,1,1
10.0,0,7,0,0,0,0,0,1,0,3,0,24,1,2,0,0,3,0,2,0,0,0,3,0,0,0,0,0,9,0,2,4,0,2,2,0,0,3,98,0,0,0,2,0,10,183,0,0,1,0,2,0,0,2,8,31,0,0,5,1,5,1,1,0,0,1,1,0,0,0,0,0,0,1,8,0,0,2,0,0,0,0,9,0,1,3,10,1,1,0,0,0,2,6,1,0,0,0,7,0,1,0,0,14,1,6,2,0,1,0,0,0,2,0,0,3,2,3,0,0,8,8,2,0,0,2,1,0,2,0,5,0,1,0,0,0,2,7,2,0,0,1,0,2,2,2,0,0,4,0,6,0,0,6,0,1,2,0,1,0,0,1,5,4,5,2,0,0,0,4,0,0,0,0,10,2
10.0,0,8,3,0,2,0,0,0,0,0,7,13,0,0,0,0,0,2,5,5,5,0,0,0,4,1,3,0,10,1,2,8,0,5,0,0,0,0,242,1,0,1,1,2,9,237,0,3,0,0,3,0,9,5,4,52,0,0,1,0,0,0,0,0,7,0,2,6,2,0,0,0,4,0,2,2,2,0,0,0,1,0,10,0,0,1,5,0,0,0,2,0,0,5,2,3,0,0,11,0,0,0,0,1,0,5,3,7,0,0,0,1,0,0,0,5,1,0,0,0,0,4,0,0,0,4,1,0,3,2,0,0,0,0,1,2,1,0,1,8,3,0,0,2,0,0,0,0,0,0,18,3,8,10,2,0,0,1,2,0,2,0,9,0,0,0,2,0,2,0,0,3,0,0,2,1
10.0,0,9,0,0,4,0,0,0,1,0,0,6,1,0,0,0,3,0,5,3,0,3,3,0,0,0,2,3,9,0,2,6,1,1,3,2,0,6,127,2,0,0,0,0,2,191,0,1,13,1,1,0,1,0,1,25,1,0,0,2,3,0,2,3,3,0,1,12,0,0,1,0,2,7,3,1,15,2,2,0,2,0,2,0,1,8,3,4,1,6,1,2,4,1,2,0,0,0,21,0,3,0,0,0,0,3,0,0,2,0,0,0,0,0,0,4,1,6,2,2,0,4,0,0,0,0,0,3,2,0,1,0,0,3,4,0,0,5,0,1,0,0,6,2,2,0,0,0,1,0,17,1,7,0,0,1,2,0,4,5,0,1,2,2,0,10,0,0,3,0,0,1,0,0,3,4
10.0,0,10,2,1,0,1,0,1,2,0,1,15,1,0,15,0,0,1,9,1,0,1,5,0,0,0,5,1,0,3,0,2,0,0,3,2,0,0,128,3,0,2,1,0,4,159,0,0,3,0,0,0,8,2,3,36,0,2,3,2,5,1,0,6,0,0,7,2,1,0,2,0,0,3,4,0,0,4,2,3,0,3,7,0,0,1,0,0,1,0,0,1,6,2,0,0,1,0,13,1,0,0,0,1,0,6,0,0,11,0,0,0,0,4,0,4,0,0,0,3,6,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,2,4,1,1,0,1,6,15,0,1,2,3,0,0,2,4,0,0,4,0,0,0,0,0,3,0,0,0,6,2,0,2,0
10.0,0,11,0,0,0,0,0,2,3,0,0,7,3,3,0,3,0,0,1,3,1,0,0,0,0,0,0,0,8,0,2,5,0,0,0,0,0,1,939,0,1,0,0,1,9,218,2,0,0,7,0,1,2,0,0,32,1,0,2,0,0,0,5,1,1,0,4,34,0,0,0,0,0,0,2,0,0,0,2,0,2,0,4,0,0,0,12,0,4,1,12,1,3,2,0,0,4,0,27,0,0,0,0,3,0,8,5,2,0,0,0,0,0,1,2,0,0,0,0,5,2,0,0,0,0,0,0,0,14,0,7,0,0,0,3,2,5,0,0,3,2,7,5,0,4,0,0,0,0,2,17,0,0,0,1,2,1,4,3,0,1,0,0,0,2,1,2,0,5,0,1,0,0,0,0,0
10.0,0,12,0,0,9,0,0,0,0,0,0,12,1,1,3,1,1,2,5,1,0,0,0,0,1,0,0,0,23,0,3,0,0,0,0,6,2,7,1504,0,0,1,0,0,8,244,3,2,0,2,2,0,3,0,0,41,0,1,0,2,0,2,1,0,5,0,0,26,0,0,0,0,0,2,11,0,12,0,4,0,4,3,9,6,0,3,3,4,0,0,0,0,0,0,0,0,0,0,15,2,0,0,4,0,5,4,3,0,0,0,0,4,1,4,0,0,0,1,0,0,2,0,1,0,2,0,0,0,1,4,0,0,0,0,1,1,3,0,2,0,3,9,0,0,4,0,0,0,1,1,32,3,0,0,0,0,2,2,4,2,2,1,1,0,0,3,0,1,0,0,1,1,1,0,0,2
10.0,1,1,0,0,5,3,2,0,0,3,0,107,0,0,2,1,0,0,1,4,1,4,0,2,3,6,11,0,9,1,0,14,0,1,4,5,0,12,17,0,2,1,0,0,16,1,0,0,0,0,4,0,9,0,0,21,1,1,0,1,0,2,0,17,4,8,8,0,0,0,0,3,3,0,3,1,57,1,1,0,0,6,14,2,3,3,2,0,2,3,0,2,8,4,0,0,8,4,10,0,0,1,4,4,0,14,0,1,3,1,0,0,0,0,0,0,0,3,0,2,0,0,0,2,0,0,0,1,0,0,1,0,1,1,0,1,0,16,0,2,1,0,0,1,3,1,0,2,0,1,42,0,0,0,0,0,3,2,0,2,0,1,6,0,3,2,0,0,0,0,0,2,0,2,2,0
10.0,1,2,0,0,1,0,3,0,2,0,0,116,1,0,0,0,3,2,3,1,1,0,0,1,0,0,0,2,10,3,2,14,0,0,3,0,0,13,37,1,0,0,0,0,13,0,0,5,0,0,0,0,5,4,5,15,0,1,1,0,0,2,3,6,0,0,6,7,0,0,0,0,1,0,6,0,97,0,0,2,2,0,6,0,2,4,12,0,0,0,0,1,1,1,0,1,10,0,4,1,1,0,2,5,0,12,0,0,0,0,0,5,0,0,0,7,2,0,1,5,5,0,7,0,10,2,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,4,0,1,2,1,1,0,0,42,0,5,3,3,0,3,1,1,4,0,1,0,0,5,8,2,0,7,1,1,1,1,0,0,2
